MiscFeature,2812.0,96.4,cat,"""None""で補完",その他の特別な機能
Alley,2719.0,93.21,cat,"""None""で補完",路地アクセスの種類
Fence,2346.0,80.43,cat,"""None""で補完",フェンスの品質
MasVnrType,1766.0,60.54,cat,"""None""で補完",石造りの外壁の種類
FireplaceQu,1420.0,48.68,cat,"""None""で補完",暖炉の品質
GarageFinish,159.0,5.45,cat,"""None""で補完",ガレージの内装仕上げ
GarageQual,159.0,5.45,cat,"""None""で補完",ガレージの品質
GarageCond,159.0,5.45,cat,"""None""で補完",ガレージの状態
GarageType,157.0,5.38,cat,"""None""で補完",ガレージの位置
BsmtCond,82.0,2.81,cat,"""None""で補完",地下室の全体的な状態
BsmtExposure,82.0,2.81,cat,"""None""で補完",地下室のウォークアウトやガーデンレベルの壁
BsmtQual,81.0,2.78,cat,"""None""で補完",地下室の高さ
BsmtFinType2,80.0,2.74,cat,"""None""で補完",地下室の仕上げエリア2の品質（ある場合）
BsmtFinType1,79.0,2.71,cat,"""None""で補完",地下室の仕上げエリアの品質
MasVnrArea,23.0,0.79,num,0で補完,石造りの外壁の面積（平方フィート）
BsmtHalfBath,2.0,0.07,num,0で補完,地下室のハーフバスルーム数
BsmtFullBath,2.0,0.07,num,0で補完,地下室のフルバスルーム数
GarageArea,1.0,0.03,num,0で補完,ガレージの面積（平方フィート）
GarageCars,1.0,0.03,num,0で補完,ガレージの車両収容能力
BsmtFinSF1,1.0,0.03,num,0で補完,地下室の仕上げエリア1の面積（平方フィート）
BsmtFinSF2,1.0,0.03,num,0で補完,地下室の仕上げエリア2の面積（平方フィート）
BsmtUnfSF,1.0,0.03,num,0で補完,地下室の未仕上げエリアの面積（平方フィート）
TotalBsmtSF,1.0,0.03,num,0で補完,地下室全体の面積（平方フィート）
GarageYrBlt,159.0,5.45,num,0で補完(ガレージの有無については別途hasGarege列を作ることで認識させる),ガレージの建設年
SalePrice,1459.0,50.02,※目的変数,※目的変数,物件の販売価格（ドル）。予測対象の変数。
PoolQC,2908.0,99.69,cat,列削除,プールの品質
Utilities,2.0,0.07,cat,列削除,利用可能な公共施設の種類
PoolArea,0.0,0.0,num,列削除,プールの面積（平方フィート）
LotFrontage,486.0,16.66,num,各Neighborhood毎のLotFrontageの中央値で補完,物件に接続する道路の線形フィート数
,Missing_count,Percent (%),データの種類,対処,説明
MSZoning,4.0,0.14,cat,"最頻値""RL""で補完",一般的なゾーニング分類
Functional,2.0,0.07,cat,最頻値で補完,住居の機能性評価
Exterior2nd,1.0,0.03,cat,最頻値で補完,外壁の素材（2つ目）
Exterior1st,1.0,0.03,cat,最頻値で補完,外壁の素材（1つ目）
SaleType,1.0,0.03,cat,最頻値で補完,売却の種類
KitchenQual,1.0,0.03,cat,最頻値で補完,キッチンの品質
Electrical,1.0,0.03,cat,最頻値で補完,電気システム
TotRmsAbvGrd,0.0,0.0,,,地上の総部屋数（バスルームを除く）
Fireplaces,0.0,0.0,,,暖炉の数
SaleCondition,0.0,0.0,,,売却の条件
PavedDrive,0.0,0.0,,,舗装された駐車場
MoSold,0.0,0.0,,,売却月
YrSold,0.0,0.0,,,売却年
WoodDeckSF,0.0,0.0,,,木製デッキの面積（平方フィート）
MiscVal,0.0,0.0,,,その他の機能の価値（ドル）
ScreenPorch,0.0,0.0,,,スクリーン付きポーチの面積（平方フィート）
3SsnPorch,0.0,0.0,,,3シーズンポーチの面積（平方フィート）
BedroomAbvGr,0.0,0.0,,,
EnclosedPorch,0.0,0.0,,,屋内ポーチの面積（平方フィート）
OpenPorchSF,0.0,0.0,,,オープンポーチの面積（平方フィート）
KitchenAbvGr,0.0,0.0,,,
MSSubClass,0.0,0.0,,,建物クラス
HalfBath,0.0,0.0,,,地上のハーフバスルーム数
OverallCond,0.0,0.0,,,全体的な状態評価
LotArea,0.0,0.0,,,土地の面積（平方フィート）
Street,0.0,0.0,,,道路アクセスの種類
LotShape,0.0,0.0,,,物件の一般的な形状
LandContour,0.0,0.0,,,物件の平坦度
LotConfig,0.0,0.0,,,土地の配置
LandSlope,0.0,0.0,,,土地の傾斜
Neighborhood,0.0,0.0,,,エイムズ市内の物理的な場所
Condition1,0.0,0.0,,,主な道路または鉄道への近接度
Condition2,0.0,0.0,,,（2つ目がある場合）主な道路または鉄道への近接度
BldgType,0.0,0.0,,,住居の種類
HouseStyle,0.0,0.0,,,住居のスタイル
OverallQual,0.0,0.0,,,全体的な素材と仕上げの品質
YearBuilt,0.0,0.0,,,建設年
FullBath,0.0,0.0,,,地上のフルバスルーム数
YearRemodAdd,0.0,0.0,,,改装年
RoofStyle,0.0,0.0,,,屋根の種類
RoofMatl,0.0,0.0,,,屋根の素材
ExterQual,0.0,0.0,,,外装の品質
ExterCond,0.0,0.0,,,外装の現状
Foundation,0.0,0.0,,,基礎の種類
Heating,0.0,0.0,,,暖房の種類
HeatingQC,0.0,0.0,,,暖房の品質と状態
1stFlrSF,0.0,0.0,,,1階の面積（平方フィート）
2ndFlrSF,0.0,0.0,,,2階の面積（平方フィート）
LowQualFinSF,0.0,0.0,,,低品質な仕上げの面積（全階層）
GrLivArea,0.0,0.0,,,地上のリビングエリアの面積（平方フィート）
CentralAir,0.0,0.0,,,セントラルエアコン
Kitchen,,,,,キッチンの数
Bedroom,,,,,地下室を除いた寝室数
